feature,mean_importance,std_importance
answer_n_chunks,1.426035770053884,0.2684240474936605
reasoning_monotonicity,0.6957383382579894,0.1679477506959892
reasoning_std,0.6646003963803593,0.26645037169857805
answer_rebound_from_trough,0.6052274610001581,0.3389640696654237
reasoning_max,0.5866742280856285,0.1783339682775015
answer_start_minus_reasoning_end,0.5143497902563994,0.1878057415437405
reasoning_curvature_abs_mean,0.4914281868197962,0.207488702408249
reasoning_trough_pos,0.4493568075885729,0.3196148197653165
reasoning_min,0.43977923640959277,0.20049795350614477
reasoning_peak_pos,0.42473392631966045,0.1717405860633188
answer_max_rise_pos,0.4243865329938036,0.2787645265338137
answer_time_positive,0.4203480391496576,0.25905434933965776
answer_range_minus_reasoning_range,0.36657464185903743,0.36761153541303165
reasoning_zero_crossings,0.3627852271425061,0.16056802760629185
reasoning_mid_mean,0.35111071304392255,0.13702757973255486
reasoning_max_drop,0.34860319283512686,0.26648287118542807
answer_late_minus_early,0.33322334013099436,0.14417434578877578
answer_start,0.33171218038960787,0.2514898565586995
answer_early_mean,0.3316996673928286,0.16954356779960686
answer_end,0.31723988984472906,0.1776113594222354
answer_monotonicity,0.30807028735233344,0.20094867611838635
answer_late_mean,0.3004628465012793,0.12984182112747603
answer_peak_pos,0.29806185581920014,0.1872728500848157
reasoning_n_chunks,0.2861973114785057,0.12924061960981353
answer_negative_mass,0.27997830905120435,0.035826881348207974
answer_time_negative,0.27818798494146313,0.2451036098098523
reasoning_max_rise,0.2579715012365763,0.17642128432689302
total_n_chunks,0.24903592003385472,0.13909225369478345
reasoning_max_rise_pos,0.23890408696159265,0.21202967947434592
reasoning_direction_changes,0.22773226879219308,0.1834271991038457
answer_zero_crossings,0.21968069449587002,0.17398385069935185
answer_direction_changes,0.2194670288173844,0.086160532402444
reasoning_total_variation,0.21379757439132496,0.16843226088433425
reasoning_positive_mass,0.20928387420275268,0.18437210799404735
answer_end_minus_start,0.20779209282821243,0.16135466216790087
reasoning_fall_from_peak,0.205609567375345,0.17987412208187434
answer_positive_mass,0.20244549445567311,0.11331375209471335
reasoning_negative_mass,0.20210374995065958,0.1336011428018398
reasoning_range,0.20001347162880476,0.13502525916259203
answer_trough_pos,0.19915172283561478,0.07614069606881978
answer_mid_mean,0.18544782211212602,0.17035657099101495
reasoning_time_negative,0.17988848154759776,0.13166667557504189
reasoning_time_positive,0.1798884815475975,0.13166667557504186
reasoning_start,0.15811641309579944,0.11382063470892236
answer_max,0.15499435167431613,0.11856554229714024
reasoning_rebound_from_trough,0.15103263850028217,0.11860178275610501
reasoning_end,0.15028623131398272,0.09666913953733926
answer_minus_reasoning_mean,0.14229223629239138,0.11313001046154644
answer_min,0.1368276229480136,0.0925495791597603
reasoning_max_drop_pos,0.134704569192573,0.13875821346459158
answer_total_variation,0.129053804786871,0.13807265397380247
answer_max_drop_pos,0.12760306712282604,0.10559844635487027
answer_max_drop,0.1251157563481684,0.0371616749599115
answer_curvature_abs_mean,0.12486668703676215,0.013704749881801984
answer_std,0.12245887541544512,0.09691023884408494
reasoning_early_mean,0.1053842138418017,0.057654880852911546
answer_end_minus_reasoning_end,0.09686218423622303,0.06628450897754538
answer_max_rise,0.09619404371245725,0.10391070552826272
reasoning_late_minus_early,0.09303520189905805,0.03173610266153246
reasoning_end_minus_start,0.07986586702580464,0.06915344276154638
answer_fall_from_peak,0.07582704552362271,0.08871156512473236
reasoning_late_mean,0.0683889707579423,0.06285991440946737
answer_range,0.06319915358888273,0.06378877636775214
